code,example,question_code,question_text,calculation_step,answer,learning_type,criteria_id,mastery_id
1,Suhu,111RTP101,Suhu di Cameron Highlands ialah -2°C manakala di Kuala Lumpur ialah +5°C. Bandar manakah lebih sejuk?,Bandar dengan suhu lebih rendah adalah lebih sejuk.,Cameron Highlands,R,1.1.1,TP1
2,Lif,111RTP102,Lif berada di tingkat -1 dan -3. Aras tanah ialah 0. Tingkat manakah lebih dekat dengan aras tanah?,Bandingkan jarak ke 0: |-1| < |-3|.,-1,R,1.1.1,TP1
3,Akaun bank,111RTP103,Akaun bank Ali menunjukkan -RM10 manakala akaun Abu menunjukkan +RM3. Siapakah mempunyai lebih banyak wang?,Nilai positif menunjukkan baki; nilai negatif menunjukkan hutang.,Abu,R,1.1.1,TP1
4,Skor permainan,111RTP104,"Skor pasukan: Merah -2, Biru +1. Pasukan manakah mendahului?",Skor positif lebih tinggi daripada skor negatif.,Biru,R,1.1.1,TP1
5,Ketinggian,111RTP105,"Ketinggian dua lokasi: Gunung +120 m, Gua -40 m. Lokasi manakah di bawah aras laut?",Nilai negatif berada di bawah aras rujukan.,Gua,R,1.1.1,TP1
6,Suhu,111RTP206,Suhu pagi -1°C dan tengah hari +2°C. Yang manakah lebih hampir kepada 0°C?,"Bandingkan jarak: |-1|=1, |+2|=2 → -1°C lebih hampir.",-1°C,R,1.1.1,TP2
7,Paras air,111RTP207,Paras air sungai turun 3 m di bawah paras normal. Nyatakan integer yang mewakili keadaan tersebut.,Turun di bawah aras normal ⇒ nombor negatif.,-3,R,1.1.1,TP2
8,E-wallet,111RTP208,Baki e-wallet menunjukkan -RM5 daripada 0. Apakah maksud nilai -RM5?,Tanda '-' menunjukkan hutang sebanyak RM5.,Hutang RM5,R,1.1.1,TP2
9,Perlumbaan,111RTP209,"Perlumbaan: Amir -2 mata, Bala 0 mata, Chia +3 mata. Susun daripada terakhir ke pertama.",Lebih negatif → lebih rendah; lebih positif → lebih tinggi.,"Amir, Bala, Chia",R,1.1.1,TP2
10,Lif,111RTP210,"Aras lif: -5, -1, +4. Penumpang dari -5 mahu ke +4. Berapa tingkat perlu dilalui?",Kira beza: +4 - (-5) = 9.,9 tingkat,R,1.1.1,TP2
11,Suhu,111RTP311,"Suhu bandar: A=-3°C, B=+2°C, C=-1°C. Bandar manakah paling panas?",Nilai paling positif menunjukkan suhu paling tinggi.,B,R,1.1.1,TP3
12,Akaun bank,111RTP312,"Dalam tiga akaun pelanggan dicatat: -RM2, -RM10, +RM4. Akaun manakah paling rugi?",Lebih negatif bermaksud hutang lebih banyak.,-RM 10.00,R,1.1.1,TP3
13,Ketinggian,111RTP313,Gunung pada +4095 m dan dasar laut pada -2000 m. Nyatakan perbezaan ketinggian antara kedua-duanya.,Beza = 4095 - (-2000) = 6095.,6095 m,R,1.1.1,TP3
14,Skor ujian,111RTP314,"Skor pelajar: -3, +5, 0. Skor manakah menunjukkan prestasi sederhana?",Skor 0 bermaksud tiada penambahan atau pengurangan.,0,R,1.1.1,TP3
15,Permainan,111RTP315,"Dalam permainan, pemain A di -2 dan pemain B di -1. Siapa lebih hampir kepada skor positif?",Bandingkan jarak ke 0: |-1| < |-2|.,Pemain B,R,1.1.1,TP3
16,Suhu,111RTP416,"Dalam laporan cuaca, suhu minimum -8°C dan maksimum +5°C. Berapakah beza suhu antara maksimum dan minimum?",Kira: +5 - (-8) = 13.,13°C,R,1.1.1,TP4
17,Kedalaman,111RTP417,Sebuah kapal selam menyelam ke -200 m dan kemudian naik ke -50 m. Berapa perubahan ketinggian kapal itu?,Perubahan = -50 - (-200) = +150.,Naik 150 m,R,1.1.1,TP4
18,Akaun bank,111RTP418,Baki akaun pada hari Isnin ialah +RM15 dan pada hari Selasa ialah -RM5. Pada hari manakah akaun berhutang?,Nilai negatif menandakan hutang.,Selasa,R,1.1.1,TP4
19,Suhu,111RTP419,Suhu di puncak gunung -3°C dan di kaki gunung +9°C. Nyatakan perbezaan suhu antara puncak dan kaki.,Beza = +9 - (-3) = 12.,12°C,R,1.1.1,TP4
20,Pergerakan,111RTP420,Robot bergerak dari 0 ke -4 kemudian ke +3. Apakah kedudukan akhir robot?,0 - 4 + 3 = -1.,-1,R,1.1.1,TP4
21,Ketinggian,111RTP521,"Ali bermula pada 0 m, turun 6 m ke gua, kemudian naik semula 2 m. Apakah kedudukan akhir Ali berbanding 0 m?",0 - 6 + 2 = -4.,-4 m,R,1.1.1,TP5
22,Suhu,111RTP522,"Suhu peti sejuk ialah -2°C. Selepas dibuka lama, suhu meningkat 5°C. Apakah suhu akhir?",-2 + 5 = +3.,+3°C,R,1.1.1,TP5
23,E-wallet,111RTP523,"Baki awal e-wallet ialah +RM10. Selepas membeli barang RM12, nyatakan baki akhir sebagai integer bertanda.",+10 - 12 = -2.,-RM 2.00,R,1.1.1,TP5
24,Paras air,111RTP524,Paras sungai pada pagi ialah -3 m dan pada petang ialah +2 m. Berapakah perubahan paras air?,+2 - (-3) = +5.,+5 m,R,1.1.1,TP5
25,Skor permainan,111RTP525,"Seorang pemain kehilangan 5 mata, kemudian mendapat 7 mata. Apakah skor akhir jika bermula dari sifar?",0 - 5 + 7 = +2.,2,R,1.1.1,TP5
26,Suhu,111RTP626,"Zon suhu: Artik -25°C, Tropika +30°C, Gurun +45°C. Zon manakah paling sejuk dan berapa beza dengan zon paling panas?",Beza = 45 - (-25) = 70.,"Artik, beza 70°C",R,1.1.1,TP6
